YearStart,YearEnd,LocationAbbr,LocationDesc,DataSource,Topic,Question,Response,DataValueUnit,DataValueType,DataValue,DataValueAlt,DataValueFootnoteSymbol,DataValueFootnote,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,StratificationCategory2,Stratification2,StratificationCategory3,Stratification3,Geolocation,LocationID,TopicID,QuestionID,ResponseID,DataValueTypeID,StratificationCategoryID1,StratificationID1,StratificationCategoryID2,StratificationID2,StratificationCategoryID3,StratificationID3
2016,2020,AR,Arkansas,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,479.0,479.0,,,441.8,518.5,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-92.27449074299966 34.74865012400045),5,CAN,CAN07,,AGEADJRATE,RACE,AIAN,,,,
2015,2019,WY,Wyoming,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Crude Rate,177.3,177.3,,,170.6,184.2,Sex,Male,,,,,POINT (-108.10983035299967 43.23554134300048),56,CAN,CAN08,,CRDRATE,SEX,SEXM,,,,
2016,2020,ME,Maine,US Cancer DVT,Cancer,"Colon and rectum (colorectal) cancer mortality among all people, underlying cause",,Number,Number,128.0,128.0,,,,,Sex,Female,,,,,POINT (-68.98503133599962 45.254228894000505),23,CAN,CAN01,,NMBR,SEX,SEXF,,,,
2015,2019,CO,Colorado,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,264.4,264.4,,,253.4,275.8,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",,,,,POINT (-106.13361092099967 38.843840757000464),8,CAN,CAN07,,AGEADJRATE,RACE,API,,,,
2016,2020,MI,Michigan,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,244.3,244.3,,,236.0,252.7,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",,,,,POINT (-84.71439026999968 44.6613195430005),26,CAN,CAN07,,AGEADJRATE,RACE,API,,,,
2015,2019,LA,Louisiana,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,315.2,315.2,,,297.4,333.9,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",,,,,POINT (-92.44568007099969 31.31266064400046),22,CAN,CAN07,,AGEADJRATE,RACE,API,,,,
2015,2019,RI,Rhode Island,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,519.2,519.2,,,510.9,527.5,Sex,Male,,,,,POINT (-71.52247031399963 41.70828019300046),44,CAN,CAN07,,AGEADJRATE,SEX,SEXM,,,,
2016,2020,HI,Hawaii,US Cancer DVT,Cancer,"Invasive cancer (all sites combined), incidence",,"per 100,000",Age-adjusted Rate,384.2,384.2,,,379.1,389.3,Race/Ethnicity,"Asian or Pacific Islander, non-Hispanic",,,,,POINT (-157.85774940299973 21.304850435000446),15,CAN,CAN07,,AGEADJRATE,RACE,API,,,,
2015,2019,CA,California,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,141.8,141.8,,,134.8,149.1,Race/Ethnicity,"American Indian or Alaska Native, non-Hispanic",,,,,POINT (-120.99999953799971 37.63864012300047),6,CAN,CAN08,,AGEADJRATE,RACE,AIAN,,,,
2016,2020,GA,Georgia,US Cancer DVT,Cancer,"Invasive cancer (all sites combined) mortality among all people, underlying cause",,"per 100,000",Age-adjusted Rate,129.5,129.5,,,128.2,130.7,Sex,Female,,,,,POINT (-83.62758034599966 32.83968109300048),13,CAN,CAN08,,AGEADJRATE,SEX,SEXF,,,,
